- Cảm ứng tốt, cầm chắc tay\n- Camera 3D hoạt động tốt, nhiều tinh chỉnh đi kèm\n- Được cài đặt sẵn các game 3D, YouTube 3D\n- Hỗ trợ chuyển đổi từ nội dung 2D thành 3D\n,,,,,,,,,,,,,,,,
Tính năng mạnh, giá cả lại hợp lý, mẫu mã đẹp là ưu điểm cho dòng sản phẩm này, màn hình đa điểm chạm sẽ đưa người dùng vào thế giới mới của công nghệ\n,,,,,,,,,,,,,,,,
độ phân giải 12.1 MP với canon, độ phân giải lý tưởng cho bạn chụp hình khi đi chơi, du lịch. Kiểu dáng, màu sắc bắt mắt, gọn nhẹ, phù hợp với sinh viên và các bạn nữ\n,,,,,,,,,,,,,,
Cái này xài cũng được lắm, pin lâu, chơi đuợc nhiều game\nBàn phím bố trí thuận lợi\n,,,,,,,,,,,,,,,,,
Dễ sử dụng, hình ảnh kiểu dáng bắt mắt, khá gọn.\nMàn hình độ phân giải cao, chụp ảnh tốt.\nNghe gọi rõ, vỏ kim loại bền.\nGiá phù hợp.\nNokia 6300 là điện thoại thanh mỏng và nhẹ.\nBàn phím của máy được thiết kế một cách đơn giản nhưng rất hợp lý\nCác phím điều khiển chức năng đa phương tiện nằm tách rời hoàn toàn với bàn phím số.\n,,,,,,,,,,,,,,,
-Màn hình to hơn các dòng trước, xem phim, chơi game sướng hơn\n-độ phân giải không được như galaxy s3 nhưng chất lượng hiển thị thì tuyệt vời, sống động, rực rở, mật độ điểm ảnh cao hơn\n-mỏng, nhẹ, thiết kế nguyên khối thanh lịch\n-bước đột phá về thiết kế của ip từ trước đến nay\n-cảm ứng cực mượt, ram nâng cấp gấp đôi, tốc độ gấp đôi (có thẻ xem speedtest)\n-hệ điều hành iOS mới nhất với nhiều ứng dụng mới\n-màn hình công nghệ mới tích hợp với cảm ứng, chịu va đập tốt hơn (tham khảo drop test in youtube)\n-camera chuẩn hơn\n-pin lâu hơn, không còn phải đem theo xạc mỗi khi đem máy đi làm\n,,,,,,,,
màn hình cảm ứng đa điểm,cảm ứng nhạy,vào mạng nhanh,xem phim không bị giật,lên mạng trò chuyện một cách nhanh chóng....\n,,,,,,,,,,,,,,,
- Màn hình đẹp.\n- Camera tốt.\n- Các ứng dụng phụ trợ của Nokia tiện lợi.\n,,,,,,,,,,,,,,,,,,,
-Chỗ ngồi tiện nghi rộng rãi\n-Kiể dáng rất ngầu\n- Là 1 trong những dòng SUV bán chạy nhất TG\n- Máy mạnh\n,,,,,,,,,,,,,,,,,,,
Lợi xăng lắm trên 40Km/1 lít lun đó.....\nMáy êm chạy nhẹ và lướt hơn loại bình xăng con\n,,,,,,,,,,,,,,,,,,,
Thể hiện đẳng cấp, Cảm ứng đa điểm tuyệt vời. Nhiều ứng dụng hay.\n,,,,,,,,,,,,,,,,,,
2 sim. thân máy bằng kim loại khá chắc chắn! chịu va đap manh. co quay phim chup hình nghe nhac FM. Ghi âm cuộc gọi và ghi âm ! Có khe cấm thẻ nhớ!\n,,,,,,,,,,,,,,,,,,,
Giao diện linh hoạt\nThiết kế đẹp, gọn\nTrình duyệt, email dễ dùng\nẢnh chụp nét với Camera 5.0\nCó 3G và WiFi\n,,,,,,,,,,,,,,,,,
san pham den tu lg nen gia mem de su dung voi giao dien dep tich hop tinh nang 3g camera 5mpx su dung java 2.1 kha nang giai tri duoc nang cao voi chuan tai nghe 3.5\n,,,,,,,,,,,,,,,,,,,
có đầy đủ chức năng của 1 smartphone ^^\n,,,,,,,,,,,,,,,,,,,
Pin lâu. Bề ngoài máy giản dị mà nhiều ứng dụng. hỗ trợ định dạng phong phú\n,,,,,,,,,,,,,,,,,,,
Camera tốt\nPhù hợp với người chỉ chụp ảnh và nhu cầu bình thường,,,,,,,,,,,,,,,,,,,
it hao nhiên liệu,phong cách trẻ trung thích hợp cho người thường xuyên đi xa, đồ bền cao\n,,,,,,,,,,,,,,,,,
may anh tot\nbo nho trong cua may lon\nnhieu chuc nang\n,,,,,,,,,,,,,,,,,,,
không biết\n,,,,,,,,,,,,,,,,,,,
bền\n,,,,,,,,,,,,,,,,,,,
nhỏ gọn, cảm ứng ok, cài được java\n,,,,,,,,,,,,,,,,,
Là dòng smartphone ổn nhất hiện nay, Hình ảnh quá sắc nét và màu sắc sống động, Hệ điều hành Android OS, v4.0 (Ice Cream Sandwich) đỉnh cao, . Bộ nhớ trong 16GB,RAM 1GB quá lớn, Camera 8Megapixel sắc nét đến từng chi tiết, nổi trội dáng nói nhất là để ép 2 điện thoại vào nhau nó chuyển như bluetooth ấy, Màn hình rộng hơn cho phép chơi game thoải mái, lướt web nhanh khỏi nói, Có nhiều cải tiến, chụp ảnh đẹp 8MP, pin 2100 mAh có thể tháo rời, vi xử lý Exynos lõi tứ, màn hình HD Super AMOLED 4,8 inch. Đúng là siêu phẩm của gã nhà giàu samsung\n,,,,
-máy chạy êm\n- máy ảnh 5mp. chụp ảnh và xem ảnh đẹp.\n- bộ nhớ 8gb trừ bỏ các ứng dụng và cài đặt của máy thì chỉ còn khoảng 5gb nhưng có hỗ trợ thẻ nhớ lên đến 32gb nên quá tốt. Hơn hẳn rất nhiều dòng máy cùng giá tiền\n- xem phim quá được.\n- Màn hình cảm ứng điện dung 16 triệu màu, rộng 3.7 inches, hỗ trợ công nghệ Floating Touch nên rất mượt\n- Sở hữu bộ xử lý nova dual core u8500 cùng với đồ họa gpu Mali-400\n- Máy khá đẹp, thời trang nam tính.\n,,,,,,,,,,,,,,,,
tuyet voi\n,,,,,,,,,,,,,,,,,,,
Hệ điều hành Android 2.3\nCảm ứng điện dung,mượt\nCó 3G, wifi, GPS: bằng tần mạng rộng\nBộ xử lí mạnh 830 MHz\nCó nhiều tính năng,ứng dụng\n,,,,,,,,,,,,,,,
Điện thoại chụp ảnh đẹp,được bình chọn điện thoại chụp hình đẹp nhất năm 2008 đó nhé.Đặc biệt có flash xenon ban đêm rất đã.Nhiều khi mình cần scan tài liệu dùng nó chụp luôn,tiện,rõ.Nhiều tính năng giải trí kèm theo,chạy phần mềm nhanh,nghe nhạc khá.\n,,,,,,,,,,,,,,
máy thiết kế đẹp\ngiá không quá cao\ntốc độ chụp hình nhanh, máy có thể lướt web, nghe nhạc\n,,,,,,,,,,,,,,,,,
Màn hình lớn 15.6 inch, cấu hình cao, dáng đẹp, có bàn phím phụ rất tiện lợi cho những người thường phải sử dụng để tính toán hoặc những bạn học kế toán.....,giá cả phù hợp!\n,,,,,,,,,,,,,,,
-Thân máy: vỏ nhôm cứng cáp. Lớp kim loại không chỉ được phủ ở mặt trên mà còn gần như ôm trọn phần thân máy, giúp bảo vệ máy khi thường xuyên di chuyển.\n-Bàn phím: Bàn phím chiclet với đèn trợ sáng-->thuận tiện làm việc ban đêm\n-Touchpad: khá nhạy, hỗ trợ đa điểm\n-Cấu hình: Vostro dùng bộ vi xử lý mới nhất Intel Core i thế hệ thứ 2 cho tốc độ nhanh hơn 19% với dòng Core i đời đầu và gần gấp đôi với Core 2 Duo.\n-Màn hình và loa: Màn hình tạm được còn loa thì không thể để giải trí được.\nTuổi thọ pin: Cũng tạm đc.\nNhiệt độ: Có card rời hơi ấm, card on chắc mát (vì chưa thử dùng card on)\nĐộ bền: Cũng thuộc dạng small business nên chắc cũng bền đấy.\n,,,,,,,,,,,,,,,,
mỏng, cảm giác cầm trên tay chắc chắn, màn hình mịn, tông màu lạnh làm dịu mắt, camera tốt\n,,,,,,,,,,,,,,,
kiểu dáng và màu sắc tương đối đẹp.Và nhất là giá cả hợp túi tiền.\n,,,,,,,,,,,,,,,,,,,
chất lượng hình ảnh cực nét, lại thêm nhiều chức năng vượt trội hơn các thương máy ảnh khác.\nMẫu mã đẹp, vừa tay, pin tốt\n,,,,,,,,,,,,,,,,
phù hợp với nhân viên văn phòng, nhìn sang trọng\n,,,,,,,,,,,,,,,,,,
- màn hình lớn khiến cho việc duyệt web khá thoải mái.\n- tốc độ nhanh, ổn định, kết nối dữ liệu mạng nhanh (có mail tới báo ngay, có những mail nhận trước khi máy tính báo mail mới ^^).\n- hệ điều hành Android dễ sử dụng và dễ làm chủ các tính năng của máy.\n,,,,,,,,,,,,,,,,
thiet ke hop li ket hop giua phim qwerty va man hinh rong co he dieu hanh nen de tac vu ho tro van phong\n,,,,,,,,,,,,,,,,,,,
con này thi xem phim nghe nhạc luot web là ok,đặc biệt mh sáng đẹp\n,,,,,,,,,,,,,,,,,,
Samsung Galaxy Ace có những tính năng khá tốt so với giá thành của mình: Màn hình 3,5 inch HVGA mang đến sự thanh lịch, chip xử lý 800 MHz, camera 5MP chụp ảnh tốt, hình dáng đẹp và dĩ nhiên là cả Android 2.2 Froyo\nSự dung hòa giữa công nghệ và giá thành là một phần không thể thiếu của những điện thoại hạng trung. Và Samsung Galaxy Ace đã làm tốt điều này. Có thể nói, Samsung đã tìm được người thay thế xứng đáng cho dòng sản phẩm Android bình dân của họ. Samsung Galaxy Ace hiện tại có giá khoảng 7,7 triệu đồng, nghe khá hợp lí đối với 1 smartphone tầm trung được trang bị Froyo.\n,,,,,,,,,,,,
máy rẻ đẹp chụp 5x khá bắt mắt dễ sử dụng phù hợp người thu nhập thấp đơn giản dễ sử dụng nên mua ?\n,,,,,,,,,,,,,,,,,,,
Bộ nhớ trong: 16GB / RAM: 512MB\nHệ điều hành: iOS 5\nBộ vi xử lý : ARM Cortex A9 (1 GHz Dual-core)\nQuay Video 1080p\nBộ xử lý đồ hoạ: PowerVR SGX543 MP2\nIphone 4S tuy vẻ bề ngoài gần như không có thay đổi so với iphone 4 nhưng vẫn rất đẹp so với các dòng điện thoại thông minh khác, chức năng cũng được hoàn thiện hơn.\nMáy chạy tương đối khỏe, cảm ứng mượt, nhạy.\nCamera 8Mp nên quay phim chụp ảnh cực nét.\nLướt web nhanh, ổn định.\n,,,,,,,,,,,,,,,
- Máy mỏng , nhẹ , đẹp\n- màn hình đẹp , chụp ảnh đẹp , nhiều chế độ\n- pin lâu.\n- nghe nhạc có tùy chỉnh headphone.\n- các tiện ích cải tiến dùng lạ , thích như smart stay, smart croll , air view, air gesture, watch on\n- sạc pin cực nhanh , chưa đến 2h cho 100% pin 2600ma\n,,,,,,,,,
- Tính năng 3D đa dạng\n- Camera 3D hoạt động tốt, nhiều tinh chỉnh đi kèm\n- Được cài đặt sẵn các game 3D, YouTube 3D\n- Hỗ trợ chuyển đổi từ nội dung 2D thành 3D\n,,,,,,,,,,,,,,,,,
Kiểu dáng thời trang, đẹp. Phù hợp với túi tiền khi muốn sử dụng xe ga\n,,,,,,,,,,,,,,,,,,
Sơn tĩnh điện bền mầu sơn it chầy xước\n,,,,,,,,,,,,,,,,,,,
Đẹp, cấu hình ổn\n,,,,,,,,,,,,,,,,,,
- Nghe nhạc tuyệt vời .\n- Chụp ảnh khá đẹp khi ở ngoài trời .\n- Bộ nhớ trong lớn .\n- Thiết kế đẹp và chắc chắn , có đèn LED chớp theo nhạc .\n- Pin khác tốt\n- Sóng ổn định , phím dể bấm\n,,,,,,,,,,,,,,,,,
man hinh do phan giai cao\nSu dung loi 2 nhan xung nhip 1,5ghz\nDo sang cao cho chat luong anh sac net khi phat video\n,,,,,,,,,,,,,,,,,,
Chống rơi rớt tốt\nKích thước nhỏ gọn, màu sắc đẹp, độ phân giải cao\n,,,,,,,,,,,,,,,,,
Chạy Android 2.3.5\nThiết kế nhỏ gọn, thời trang\nMàn hình cảm ứng mượt mà\nThời lượng pin tốt\nÂm thanh rõ ràng\n,,,,,,,,,,,,,,,,,,
Kiểu dáng đẹp, sang trọng và rất thể thao\nXe mạnh (135 phân khối), chạy em, chống xóc tốt\nCũng ít hao xăng so với một số dòng xe của SYM\nCốp xe khá rộng tiện lợi\nGiá thành hợp lý với chất lượng xe\nKhắc phục được tiếng hú của nhông hú so với các dòng Nouvo trước đó\n,,,,,,,,,,,,,,,,
giá mềm\n,,,,,,,,,,,,,,,,,,,
Đẹp, sang, máy cấu hình cao, tốc độ xử lí nhanh.\n,,,,,,,,,,,,,,,,
Nhanh. giá tốt\n,,,,,,,,,,,,,,,,,,,
Cảm ứng nhạy, vừa tiền\n,,,,,,,,,,,,,,,,,,
mẫu mã đẹp\nnhẹ nhàng dễ bỏ vào túi xách\nkho ứng dụng đa dạng ,miễn phí\nhệ điều hành android dễ dàng sử dụng hơn\n,,,,,,,,,,,,,,,,,,
Android 4.1.2\nLướt web nhanh\n,,,,,,,,,,,,,,,,,,,
Chất lượng hình ảnh tốt, tốc đọ chụp cao\n,,,,,,,,,,,,,,,,,,
Tôi thích điện thoại này. Thật dễ dàng để sử dụng. Tôi đã từng sử dụng Xperia 10 Nó đã bị hỏng. Sau khi nâng cấp phần mềm trên nó, nó không bao giờ giống nhau. Giá tốt và dịch vụ tuyệt vời. Tôi thực sự rất thích nó. Tôi đã quay video 3D, và máy ảnh rất tốt. Tôi yêu nó cho đến nay!\n,,,,,,,,,,,,,,,,,
Máy chạy ổn định ( chức năng chống sốc cho ổ cứng để bảo vệ dữ liệu, bảo mật tốt ( bảo mật vân tay), hỗ trợ người dùng tốt ngay cả khi tối ( bàn phím có đèn nền ), màn hình chống lóa mang lại hiển thị tốt ngay cả khi dưới sáng, card đồ họa NVIDIA GeForce GT 630M cùng chip core i5 thế hệ 3 của intel cũng mang lại hiệu suất tuyệt vờlàm việc đồ họa cao hoặc chơi game đỉnh sau những giờ làm việc, chức năng quản lý pin thông minh tránh chai pin, máy được trang bị mic và webcam tốt, tích hợp nhiều kết nối hiện đại\n,,,,,,,,,,,,
_ Chế độ quay full hd chuẩn , âm thanh nổi , chất lượng phim quay rất tốt .\n_ Có bộ nhớ trong , và nhà sản xuất khuyến mãi thêm 1 HDD 250Gb , đáp ứng được lưu trữ .\n_ Có máy chiếu mini , tiện dụng trong du lịch dã ngoại .\n_ Máy nhỏ gọn , vừa với cỡ tay cầm .\n,,,,,,,,,,,,,
Thiết kế rất tốt.\nHệ điều hành tốt nhất.\nCamera iSight 8MP chất lượng cao.\nHoạt động ổn định.\nMàn hình Retina sắc nét, hiển thị chân thực.\nKho ứng dụng phong phú và đa dạng.\n,,,,,,,,,,,,,,,,,,
-Vừa cảm ứng vừa có bàn phím Qwerty, tiện việc chat, mail\n-Màn hình lật lên đẹp\n-Chụp ảnh nét\n-Bộ nhớ lớn, tha hồ lưu phim\n,,,,,,,,,,,,,,,,
thời trang\n,,,,,,,,,,,,,,,,,,,
Màn hình lớn, độ phân giải cao, màu sắc rực rỡ\nBút cảm ứng S pen cho chức năng vẽ và viết rất tuyệt\nCamera chất lượng tốt\nThời lượng pin tốt\nLướt web nhanh\n,,,,,,,,,,,,,,,,,
nghe goi , giai tri .wi-fi\n,,,,,,,,,,,,,,,,,,
Cấu hình cao, màn hình rộng, có sẵn ứng dụng do Viettel xây dựng, khuyến mại nhiều, 2SIM-2 sóng\n,,,,,,,,,,,,,,,
máy chất lượng tốt,màn hình to,giải trí rất tuyệt\n,,,,,,,,,,,,,,,,,
1.Cảm ứng ngon, màn hình cũng mướt 2.Ứng dụng chạy cũng mượt nhưng lâu lâu có tình trạng khởi động lại máy khi ứng dụng nặng wa 3.Chụp ảnh ok, nét, rõ, way video cũng chạy ngon 4.Nghe nhạc good nhất, loa tốt, lớn, âm thanh hay,loa nẳm dưới nên khi cầm hok bị che loa lại 5.Có phím nt, nghe nhạc chuyên dụng rất hữu ích 6.Tin nhắn đến có 2 cách hiển thị cũng hay, cổ điển hay trò chuyện y như chat 8.Wifi nhanh cực, 3G cũng nhanh\nchụp ảnh đc, vào mạng nhanh, sử dụng đc nhìu ứng dụng như: chat yahoo, nghe nhạc trực tuyến, vào facebook và 1 số trang mạng cá nhân khác\n,,,,
- Thiết kế với kiểu dáng vuông vắn, cổ điển tạo sự lịch lãm và sang trọng.\n- Trọng lượng máy khá nhẹ, máy có độ dày chỉ 8.5 mm và nặng hơn 100 gr.\n- Màn hình cảm ứng Super AMOLED Plus, kích thước 4,3 inch hỗ trợ góc nhìn rộng hơn, hiển thị màu sắc tốt hơn Super AMOLED trên thế hệ trước.\n- Cấu hình khủng: Bộ CPU hai nhân ARM Cortex-A9, chipset Orion tốc độ 1GHz, 1 GB RAM, camera 8MP, quay video Full-HD 1080, công nghệ kết nối NFC, SNS, hỗ trợ Adobe Flash 10.1 và chạy hệ điều hành Android OS v2.3.\n- Có pin rời dễ xử lý, khi máy đơ chỉ cần tháo pin.\n,,,,,,
Sang trọng,không cầu kì,nhìn đẹp mắt,màn hình rộng\n,,,,,,,,,,,,,,,,
Có bộ vi xử lý ép xung lên được 1.7Ghz tốc độ chóng mặt\n,,,,,,,,,,,,,,,,,,,
chụp hình, quay phim, xem clip rất sắc nét.\n\nmàn hình cảm ứng đa phương tiện.\n,,,,,,,,,,,,,,,,,
Đẹp, nhẹ, chụp ảnh net, quay video net, màn hinh nét, cam ung tot, toc do su lý nhanh, chống bụi và chống nc đc, nhiều kiểu kết nối rất thông minh\n,,,,,,,,,,,
quá tiện dụng dù bạn ở nơi đâu, ip5 là sản phẩm mới nhất của apple, vì vậy khi dùng chiếc dt này thể hiện sự thành đạt, thời thượng và quý phái, nhất là khi bạn là một doanh nhân. Mình cũng đang sử dụng 1 chiếc ip5 và hoàn toàn hài lòng về chất lượng phần mềm ios cũng như dao diện thân thiện với người sử dụng.\n,,,,,,,,,,,,,,,
Càng nóng máy càng ngọt,mình đã sử dụng và chọn Su-smash\n,,,,,,,,,,,,,,,,,,
Chậy các ứng dụng nhanh\nphù hợp cho doanh nhân\n,,,,,,,,,,,,,,,,,,,
chụp ảnh đẹp ,rõ nét\nNhược điểm:,,,,,,,,,,,,,,,,,,
Bền, đẹp, gọn nhẹ,giá rẻ....\n,,,,,,,,,,,,,,,,
Thiết kế bắt mắt với màn hình 4,65 theo cá nhân mình là khá vừa tay với mọi lứa tuổi.\nĐặc biệt nghe nhạc thì tuyệt vời\n3G khá nhanh so với nhiều máy\nMàn hình hiển thị khá rực rỡ đúng chất Samsung.\nMáy xách tay nên giá khá mềm so với cấu hình sở hữu.\n,,,,,,,,,,,,,,,,,,
xe chay êm noi thât của xe sang trọng dáng xe manh me\n,,,,,,,,,,,,,,,,,,,
Cấu hình tương tự LG Optimus đời đầu, tương đối mạnh mẽ:\nKích thước: 126.,8 x 67,4 x 9,6 mm\nTrọng lượng: 148g\nMàn hình: 4,3\,,,,,,,,,,,,,,
máy chụp hình Panasonic Lumix DMC-FZ100 này xài rất tốt, mình đã dùng nhiều năm rùi mà vẫn còn ok lắm. độ zom của máy chụp hình này rất hay, zom nhiều nhưng hình ảnh không bị nhòe mà rất sắc nét. màu sắc lại rất chuẩn, dùng hàng của Panasonic thì rất yên tâm, vì hãng này nổi tiếng về chất lượng mà.\n,,,,,,,,,,,,,,,
Màn hình chất lượng, giao diện đẹp, phần mềm thông minh dễ sử dụng đặc biệt với phụ nữ và trẻ em,thực hiện các tác vụ có vẻ mượt và nhanh hơn 4S và các đối thủ, bao bì đẹp và tiếp thị tốt.\n,,,,,,,,,,,,,,,
xử lý dữ liệu nhanh chóng,,,,,,,,,,,,,,,,,,,
Kích thước màn hình rộng 5.3 inch. kiểu giáng trang nhã, sành điệu\nCamera 8 chấm chụp ảnh cực nét, cực đẹp. Giúp bạn thỏa sức chụp ảnh\nBộ nhớ khủng, tốc độ nhanh.\nĐiển nổi bật của chiếc điện thoại này là S-pen dùng để vẽ và ghi chú lên điện thoại.\nMáy có đầy đủ các chức năng như nghe nhacn, xem phim.... Máy hỗ trợ các kết nối như Bluetooth 3.0 và Direct, NFC, micro USB, Kết nối A - GPS\n,,,,,,,,,,,,
màn hình sắc nét đột tương phản tốt.\nĐang được nâng cấp lên 4.0 nên có thể sẽ là ứng dụng tốt cho người dùng văn phòng.\nAi làm nghề event và biên tập viên thì dùng rất phù hợp\n,,,,,,,,,,,,,,,,,,,
- Nokia Asha 308 được hỗ trợ 2 sim cùng tính năng đổi sim siêu tốc mà không cần tắt máy.\n- Màn hình sắc nét – Cảm ứng mượt, màn hình được bảo vệ bằng kính chống xước\n- Hệ điều hành S40 touch sẽ giúp những người từng dùng điện thoại nokia không cảm thấy ngỡ ngàng.\n- Tích hợp 40games miễn phí nổi tiếng như FIFA 2012, Need for Speed...\n- Tính năng Nokia Maps giúp người dùng tiện dụng trong tra bản đồ\n- Camera 2.0 so với giá tiền như vậy là được, camera được đánh giá cao\n,,,,,,,,,,,,,,,,
máy rất đẹp, chụp hình nét, lướt web cực nhanh, biểu tượng icon lớn dễ sử dụng\n,,,,,,,,,,,,,,,,
cảm ứng mượt, nhiều game, ứng dụng\n,,,,,,,,,,,,,,,,,
Thiết kế đẹp, đẳng cấp\nThích nhất chữ Prada\nCảm ứng mượt, hệ điều hành tốt, ít lỗi\n,,,,,,,,,,,,,,,,
Độ phân dải cao, dễ dàng sử dụng, độ bền cao\n,,,,,,,,,,,,,,,,,
Thiết kế đẹp ,sang trọng,nhẹ,hiệu suất cao\n,,,,,,,,,,,,,,,,
tốc độ xử lý dữ liệu cao\n,,,,,,,,,,,,,,,,,,,
Điều đầu tiên là giá cả của sản phẩm tương đối rẻ, kết cấu máy khá bền vững, Loa tốt, nói chuyện rõ ràng. Với việc sử dụng hệ điều hành Android 4.0, Sony Speria Tipo sẽ trở nên hấp dẫn với người sử dụng.\n,,,,,,,,,,,,,,,
mình đang dùng máy này đẹp bền giá mềm nhỏ gọn nhẹ nhàng nghe nhạc xem phim ok màn hình độ phân giải cao\n,,,,,,,,,,,,,,,,,,,
- mềm mại\n-ko in dấu vân tay\n- ảnh chống rung tốt\n,,,,,,,,,,,,,,,,,,,
Điểm cộng : Màn hình đẹp, hoạt động mượt mà sau khi cài đặt firmware 1.29 và thiết lập chế độ bắt buộc 2g gpu render, camera tốt và thời lượng pin chấp nhận được\n,,,,,,,,,,,,,,,,,
kiểu dáng đẹp, có hỗ trợ thẻ nhớ, có thể truy cập gprs, chất lượng đàm thoại và bắt sóng tốt\n,,,,,,,,,,,,,,,,
may nay dung rat toi
chất lượng hình ảnh tốt.\n,,,,,,,,,,,,,,,,,,,
màn hình rộng, chụp ảnh nét\n,,,,,,,,,,,,,,,,,,
máy đẹp dễ dùng, thích nhất chụp ảnh,\n,,,,,,,,,,,,,,,,,
nho may bac dang su dung may nay cho em them y kien de em co the mua\n,,,,,,,,,,,,,,,,,,,
Mình mới mượn máy này từ một người bạn, hài hòa giữ mặt trước màu đen, mặt sau màu trắng, tốc độ truy cập khá cao, mẫu mã đẹp\n,,,,,,,,,,,,,,,
